Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_CD3TCR	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_EMTstroma	Geneset_Javelin	Geneset_HALLMARK
916_at	916	LOC916	CD3E	T Cell	Tcell_Receptor	NA	NA	NA	NA	NA	NA	NA	CM009_up	NA	NA	Javelin26	NA NA
919_at	919	LOC919	CD247	Lymphoid	Tcell_Receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Javelin26	NA NA
917_at	917	LOC917	CD3G	T Cell	Tcell_Receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Javelin26	NA NA
915_at	915	LOC915	CD3D	T Cell	Tcell_Receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
28638_at	28638	LOC28638	TRBC2	T Cell	Tcell_Receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
28755_at	28755	LOC28755	TRAC	T Cell	Tcell_Receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3669_at	3669	LOC3669	ISG20	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
10628_at	10628	LOC10628	TXNIP	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
841_at	841	LOC841	CASP8	Multiple	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	IFNG IFNA
64135_at	64135	LOC64135	IFIH1	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	IFNG IFNA
7706_at	7706	LOC7706	TRIM25	Myeloid	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	IFNG IFNA
3627_at	3627	LOC3627	CXCL10	Multiple	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	IFNG IFNA
79132_at	79132	LOC79132	DHX58	NA	NA	NA	NA	NA	NA	NA	NA	cluster3	NA	NA	NA	NA	IFNG IFNA
3665_at	3665	LOC3665	IRF7	Multiple	NA	NA	NA	NA	NA	NA	NA	cluster3	NA	NA	NA	NA	IFNG IFNA
9636_at	9636	LOC9636	ISG15	NA	NA	NA	NA	NA	NA	NA	NA	cluster3	NA	NA	NA	NA	IFNG IFNA
3659_at	3659	LOC3659	IRF1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	CM009_up	NA	NA	NA	IFNG IFNA
834_at	834	LOC834	CASP1	Monocyte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
972_at	972	LOC972	CD74	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
129607_at	129607	LOC129607	CMPK2	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
6373_at	6373	LOC6373	CXCL11	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3430_at	3430	LOC3430	IFI35	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
10561_at	10561	LOC10561	IFI44	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
10964_at	10964	LOC10964	IFI44L	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3433_at	3433	LOC3433	IFIT2	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3437_at	3437	LOC3437	IFIT3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3600_at	3600	LOC3600	IL15	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3566_at	3566	LOC3566	IL4R	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3660_at	3660	LOC3660	IRF2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
4599_at	4599	LOC4599	MX1	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
9111_at	9111	LOC9111	NMI	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
54625_at	54625	LOC54625	PARP14	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
8767_at	8767	LOC8767	RIPK2	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
91543_at	91543	LOC91543	RSAD2	Myeloid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
219285_at	219285	LOC219285	SAMD9L	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3431_at	3431	LOC3431	SP110	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
6890_at	6890	LOC6890	TAP1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
10906_at	10906	LOC10906	TRAFD1	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
3123_at	3123	LOC3123	HLA-DRB1	NA	NA	91_DN	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
7130_at	7130	LOC7130	TNFAIP6	Myeloid	NA	NA	ccrcc2.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
29126_at	29126	LOC29126	CD274	Myeloid	NA	NA	ccrcc4.up	NA	NA	McDermott_Teff	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
952_at	952	LOC952	CD38	Multiple	NA	NA	ccrcc4.up	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3620_at	3620	LOC3620	IDO1	Myeloid	NA	NA	NA	Up	NA	NA	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
6648_at	6648	LOC6648	SOD2	Myeloid	NA	NA	NA	Up	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
5770_at	5770	LOC5770	PTPN1	Multiple	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA	NA	IFNG NA
10068_at	10068	LOC10068	IL18BP	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA	NA	IFNG NA
3569_at	3569	LOC3569	IL6	Monocyte	NA	NA	NA	NA	NA	McDermott_Myeloid	NA	NA	NA	Nano	NA	NA	IFNG NA
5743_at	5743	LOC5743	PTGS2	Myeloid	NA	NA	NA	NA	NA	McDermott_Myeloid	NA	NA	NA	Nano_RNAseq	NA	NA	IFNG NA
6352_at	6352	LOC6352	CCL5	Multiple	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	Javelin26	IFNG NA
1240_at	1240	LOC1240	CMKLR1	NA	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
4283_at	4283	LOC4283	CXCL9	Multiple	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
3117_at	3117	LOC3117	HLA-DQA1	NA	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
5699_at	5699	LOC5699	PSMB10	NA	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
6772_at	6772	LOC6772	STAT1	Multiple	NA	NA	NA	NA	NA	NA	Merck_Up	NA	NA	NA	NA	NA	IFNG NA
23586_at	23586	LOC23586	DDX58	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	IFNG NA
4790_at	4790	LOC4790	NFKB1	Multiple	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	IFNG NA
8737_at	8737	LOC8737	RIPK1	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA	NA	IFNG NA
4792_at	4792	LOC4792	NFKBIA	NA	NA	NA	NA	NA	NA	NA	NA	cluster2	NA	NA	NA	NA	IFNG NA
3601_at	3601	LOC3601	IL15RA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CM009_up	NA	NA	NA	IFNG NA
5292_at	5292	LOC5292	PIM1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	CM009_up	NA	NA	NA	IFNG NA
942_at	942	LOC942	CD86	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nano	NA	NA	IFNG NA
2841_at	2841	LOC2841	GPR18	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Javelin26	IFNG NA
55016_at	55016	LOC55016	1-Mar	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
55024_at	55024	LOC55024	BANK1	B Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
836_at	836	LOC836	CASP3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
