Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_Tcell	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_HALLMARK
55016_at	55016	LOC55016	MARCH1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
64757_at	64757	LOC64757	MARC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51257_at	51257	LOC51257	MARCH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
54996_at	54996	LOC54996	MARC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
115123_at	115123	LOC115123	MARCH3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57574_at	57574	LOC57574	MARCH4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
54708_at	54708	LOC54708	MARCH5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10299_at	10299	LOC10299	MARCH6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64844_at	64844	LOC64844	MARCH7	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
220972_at	220972	LOC220972	MARCH8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
92979_at	92979	LOC92979	MARCH9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
162333_at	162333	LOC162333	MARCH10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
441061_at	441061	LOC441061	MARCH11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1731_at	1731	LOC1731	SEPT1	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4735_at	4735	LOC4735	SEPT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55964_at	55964	LOC55964	SEPT3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5414_at	5414	LOC5414	SEPT4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
